,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
71,004020,KR7004020004,현대제철,KOSPI,,31850,1,950,3.07,32150,32150,31450,534631,17007786300,4250248252250,133445785,STK
72,011790,KR7011790003,SKC,KOSPI,,111000,1,5000,4.72,110000,111500,107000,462760,50534592500,4203381078000,37868298,STK
73,021240,KR7021240007,코웨이,KOSPI,,56800,1,1600,2.9,56100,57200,56000,173712,9858602700,4191818359200,73799619,STK
74,006800,KR7006800007,미래에셋증권,KOSPI,,6810,1,230,3.5,6770,6840,6710,1213465,8233046750,4190304738480,615316408,STK
75,161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,33450,1,450,1.36,34000,34000,33250,442242,14850586850,4143621058050,123875069,STK
76,005830,KR7005830005,DB손해보험,KOSPI,,57800,1,2400,4.33,56500,57900,55500,289717,16454433830,4092240000000,70800000,STK
77,271560,KR7271560005,오리온,KOSPI,,103000,3,0,0.0,104000,104500,100500,178011,18191644500,4072221596000,39536132,STK
78,000060,KR7000060004,메리츠화재,KOSPI,,34400,1,800,2.38,34500,34950,34050,146911,5081748500,3914135200000,113783000,STK
79,010620,KR7010620003,현대미포조선,KOSPI,,94000,1,5200,5.86,92300,95700,92200,951835,89487043300,3754562006000,39942149,STK
80,012450,KR7012450003,한화에어로스페이스,KOSPI,,73100,3,0,0.0,74000,75000,72100,1071094,78377057500,3701053000000,50630000,STK
81,029780,KR7029780004,삼성카드,KOSPI,,31400,1,200,0.64,31600,31700,31350,73513,2317688900,3637969177400,115858891,STK
82,241560,KR7241560002,두산밥캣,KOSPI,,35750,2,-250,-0.69,36600,36750,35500,275603,9918480350,3583907684500,100249166,STK
83,138040,KR7138040001,메리츠금융지주,KOSPI,,27900,2,-50,-0.18,29250,29400,27300,235292,6679289700,3559253833800,127571822,STK
84,004990,KR7004990008,롯데지주,KOSPI,,33500,2,-2000,-5.63,35400,35950,33400,766624,26088507900,3514459439500,104909237,STK
85,137310,KR7137310009,에스디바이오센서,KOSPI,,33900,1,1000,3.04,33850,34250,33400,408055,13810595000,3500898866700,103271353,STK
86,036460,KR7036460004,한국가스공사,KOSPI,,35550,2,-900,-2.47,37000,37100,35450,843443,30227301100,3281727150000,92313000,STK
87,128940,KR7128940004,한미약품,KOSPI,,263500,1,3000,1.15,265000,268500,262500,25093,6641340500,3245785358500,12317971,STK
88,307950,KR7307950006,현대오토에버,KOSPI,,117000,1,1000,0.86,119000,119000,115500,90052,10527638000,3208605894000,27423982,STK
89,071050,KR7071050009,한국금융지주,KOSPI,,57200,1,3200,5.93,56000,57800,55700,423932,24091890500,3187526742400,55725992,STK
90,005940,KR7005940002,NH투자증권,KOSPI,,9570,1,270,2.9,9550,9800,9500,799911,7688531220,3174042863970,331665921,STK
91,016360,KR7016360000,삼성증권,KOSPI,,34950,1,1500,4.48,34650,35000,34350,518932,18017161450,3121035000000,89300000,STK
92,282330,KR7282330000,BGF리테일,KOSPI,,177500,2,-500,-0.28,180000,180000,176500,50762,9029550000,3067893315000,17283906,STK
93,005387,KR7005382007,현대차2우B,KOSPI,,82700,1,200,0.24,84100,84400,82500,105811,8780910700,3017346797700,36485451,STK
94,003410,KR7003410008,쌍용C&E,KOSPI,,5970,1,100,1.7,5980,6010,5910,510803,3041715020,3008041782150,503859595,STK
95,007070,KR7007070006,GS리테일,KOSPI,,28700,2,-150,-0.52,29150,29250,28450,261257,7518883600,3005404361400,104717922,STK
96,020150,KR7020150009,일진머티리얼즈,KOSPI,,65000,1,3600,5.86,63600,66000,63200,542901,34935186800,2997204275000,46110835,STK
97,112610,KR7112610001,씨에스윈드,KOSPI,,70800,1,3700,5.51,71500,71500,68500,780044,55243691500,2985735332400,42171403,STK
98,008770,KR7008770000,호텔신라,KOSPI,,72900,1,6200,9.3,69800,73000,67800,1193789,84177749200,2861188020900,39248121,STK
